index,n,m,k,l,N,M,K,L
16,"(1,0)","(1,0,1,1)","(1,1)","(1,1,1,1)","(1,0,0,0,0,0)","(0,0,0,0,1,0)","(0,0,0,1,1,0)","(0,1,0,1,0,0)"
17,"(1,1)","(1,1,1,1)","(1,0)","(1,0,1,1)","(0,0,0,1,1,0)","(0,1,0,1,0,0)","(1,0,0,0,0,0)","(0,0,0,0,1,0)"
18,"(1,0)","(1,0,1,1)","(1,1)","(1,1,1,1)","(0,0,1,0,0,0)","(1,0,0,0,0,0)","(0,1,0,0,1,0)","(0,0,0,1,1,0)"
19,"(1,1)","(1,1,1,1)","(1,0)","(1,0,1,1)","(0,1,0,0,1,0)","(0,0,0,1,1,0)","(0,0,1,0,0,0)","(1,0,0,0,0,0)"
20,"(1,0)","(1,0,1,1)","(1,1)","(1,1,1,1)","(0,0,1,0,0,0)","(0,0,0,0,1,0)","(0,1,0,1,0,0)","(0,0,0,1,1,0)"
21,"(1,1)","(1,1,1,1)","(1,0)","(1,0,1,1)","(0,1,0,1,0,0)","(0,0,0,1,1,0)","(0,0,1,0,0,0)","(0,0,0,0,1,0)"
22,"(1,0)","(1,0,1,1)","(1,1)","(1,1,1,1)","(0,0,0,0,1,0)","(1,0,0,0,0,0)","(0,1,0,0,1,0)","(0,1,0,1,0,0)"
23,"(1,1)","(1,1,1,1)","(1,0)","(1,0,1,1)","(0,1,0,0,1,0)","(0,1,0,1,0,0)","(0,0,0,0,1,0)","(1,0,0,0,0,0)"
24,"(1,0)","(1,0,1,1)","(1,1)","(1,1,1,1)","(0,0,0,0,1,0)","(0,0,1,0,0,0)","(0,1,0,1,0,0)","(0,1,0,0,1,0)"
25,"(1,1)","(1,1,1,1)","(1,0)","(1,0,1,1)","(0,1,0,1,0,0)","(0,1,0,0,1,0)","(0,0,0,0,1,0)","(0,0,1,0,0,0)"
26,"(1,1)","(1,1,1,1)","(1,1)","(1,1,1,1)","(1,0,1,0,0,0)","(1,0,0,0,1,0)","(1,0,1,0,0,0)","(1,0,0,0,1,0)"
27,"(1,1)","(1,1,1,1)","(1,1)","(1,1,1,1)","(1,0,1,0,0,0)","(0,0,1,0,1,0)","(1,0,0,0,1,0)","(1,0,1,0,0,0)"
28,"(1,1)","(1,1,1,1)","(1,1)","(1,1,1,1)","(1,0,0,0,1,0)","(1,0,1,0,0,0)","(1,0,1,0,0,0)","(0,0,1,0,1,0)"
29,"(1,1)","(1,1,1,1)","(1,1)","(1,1,1,1)","(1,0,0,0,1,0)","(0,0,0,1,1,0)","(1,0,0,0,1,0)","(0,0,0,1,1,0)"
30,"(1,1)","(1,1,1,1)","(1,1)","(1,1,1,1)","(0,0,1,0,1,0)","(1,0,1,0,0,0)","(0,0,1,0,1,0)","(1,0,1,0,0,0)"
31,"(1,1)","(1,1,1,1)","(1,1)","(1,1,1,1)","(0,0,1,0,1,0)","(1,0,0,0,1,0)","(0,0,1,0,1,0)","(1,0,0,0,1,0)"
32,"(1,1)","(1,1,1,1)","(1,1)","(1,1,1,1)","(0,0,1,0,1,0)","(1,0,1,0,0,0)","(0,0,1,0,1,0)","(1,0,1,0,0,0)"
33,"(1,1)","(1,1,1,1)","(1,1)","(1,1,1,1)","(0,0,1,0,1,0)","(1,0,0,0,1,0)","(0,0,1,0,1,0)","(1,0,0,0,1,0)"
34,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(1,1,0,0,0,0)","(0,0,1,1,0,0)","(1,1,0,0,0,0)","(0,0,1,1,0,0)"
35,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(1,1,0,0,0,0)","(0,0,1,0,1,0)","(1,1,0,0,0,0)","(0,0,1,0,1,0)"
36,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(1,1,0,0,0,0)","(0,0,0,0,1,1)","(1,1,0,0,0,0)","(0,0,0,0,1,1)"
37,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(1,0,1,0,0,0)","(0,1,0,1,0,0)","(1,0,1,0,0,0)","(0,1,0,1,0,0)"
38,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(1,0,1,0,0,0)","(0,1,0,0,1,0)","(1,0,1,0,0,0)","(0,1,0,0,1,0)"
39,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(1,0,1,0,0,0)","(0,0,0,1,1,0)","(1,0,0,0,1,0)","(0,1,1,0,0,0)"
40,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(1,0,1,0,0,0)","(0,0,0,0,1,1)","(1,0,0,0,1,0)","(0,1,0,0,0,1)"
41,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(1,0,0,0,1,0)","(0,1,1,0,0,0)","(1,0,1,0,0,0)","(0,0,0,1,1,0)"
42,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(1,0,0,0,1,0)","(0,1,0,0,0,1)","(1,0,1,0,0,0)","(0,0,0,0,1,1)"
43,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(0,0,1,1,0,0)","(1,1,0,0,0,0)","(0,0,1,1,0,0)","(1,1,0,0,0,0)"
44,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(0,0,1,1,0,0)","(1,0,0,0,1,0)","(0,0,1,0,1,0)","(1,1,0,0,0,0)"
45,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(0,0,1,1,0,0)","(0,0,0,0,1,1)","(0,0,0,0,1,1)","(1,1,0,0,0,0)"
46,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(0,0,1,0,1,0)","(1,1,0,0,0,0)","(0,0,1,1,0,0)","(1,0,0,0,1,0)"
47,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(0,0,1,0,1,0)","(1,0,0,1,0,0)","(0,0,1,0,1,0)","(1,0,0,1,0,0)"
48,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(0,0,1,0,1,0)","(1,0,0,0,0,1)","(0,0,1,0,1,0)","(1,0,0,0,0,1)"
49,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(0,0,1,0,1,0)","(0,0,0,1,0,1)","(0,0,0,0,1,1)","(1,0,1,0,0,0)"
50,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(0,0,0,0,1,1)","(1,1,0,0,0,0)","(0,0,1,1,0,0)","(0,0,0,0,1,1)"
51,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(0,0,0,0,1,1)","(1,0,1,0,0,0)","(0,0,1,0,1,0)","(0,0,0,1,0,1)"
52,"(1,1)","(1,1,0,0)","(1,1)","(1,1,0,0)","(0,0,0,0,1,1)","(0,0,1,1,0,0)","(0,0,0,0,1,1)","(0,0,1,1,0,0)"
