n,N,m,M,Class
"(1, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1)","(1, 1, 1, 1, 1, 0)",II
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0)","(0, 0, 0, 0, 0, 1)",II
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1)","(1, 1, 1, 1, 1, 0)",II
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 0, 1)","(0, 0, 0, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 0, 1)","(0, 0, 0, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 0, 1)","(0, 0, 1, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 0, 1)","(0, 1, 0, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 0, 1)","(1, 0, 0, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 0, 1)","(1, 1, 1, 1, 1, 1)",II
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 1, 0)","(0, 0, 0, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 1, 0)","(0, 0, 0, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 1, 0)","(0, 0, 1, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 1, 0)","(0, 1, 0, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 1, 0)","(1, 0, 0, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 1, 0)","(1, 1, 1, 1, 1, 1)",II
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 1)","(0, 0, 0, 0, 0, 0)",II
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 1)","(0, 1, 1, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 1)","(1, 0, 1, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 1)","(1, 1, 0, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 1)","(1, 1, 1, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 0, 1)","(1, 1, 1, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 1, 0)","(0, 0, 0, 0, 0, 0)",II
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 1, 0)","(0, 1, 1, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 1, 0)","(1, 0, 1, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 1, 0)","(1, 1, 0, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 1, 0)","(1, 1, 1, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 0, 1, 0)","(1, 1, 1, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)",II
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(0, 1, 1, 1)","(1, 1, 1, 1, 0, 1)",II
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0)","(0, 0, 0, 0, 1, 0)",II
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 0, 1, 1)","(1, 1, 1, 1, 0, 1)",II
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 0, 1)","(0, 0, 0, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 0, 1)","(0, 0, 0, 1, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 0, 1)","(0, 0, 1, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 0, 1)","(0, 1, 0, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 0, 1)","(1, 0, 0, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 0, 1)","(1, 1, 1, 1, 1, 1)",II
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 1, 0)","(0, 0, 0, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 1, 0)","(0, 0, 0, 1, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 1, 0)","(0, 0, 1, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 1, 0)","(0, 1, 0, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 1, 0)","(1, 0, 0, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 0, 1, 0)","(1, 1, 1, 0)","(1, 1, 1, 1, 1, 1)",II
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1)","(0, 0, 0, 0, 0, 0)",II
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1)","(0, 1, 1, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1)","(1, 0, 1, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1)","(1, 1, 0, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1)","(1, 1, 1, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1)","(1, 1, 1, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(0, 0, 0, 0, 0, 0)",II
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(0, 1, 1, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(1, 0, 1, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(1, 1, 0, 0, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(1, 1, 1, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(1, 1, 1, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(0, 0, 0, 1, 0, 0)",II
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(1, 1, 1, 0, 1, 1)",II
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(0, 0, 0, 1, 0, 0)",II
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(1, 1, 1, 0, 1, 1)",II
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(0, 0, 0, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(0, 0, 0, 1, 1, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(0, 0, 1, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(0, 1, 0, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(1, 0, 0, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(1, 1, 1, 1, 1, 1)",II
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(0, 0, 0, 1, 0, 1)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(0, 0, 0, 1, 1, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(0, 0, 1, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(0, 1, 0, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(1, 0, 0, 1, 0, 0)",IV
"(1, 0)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(1, 1, 1, 1, 1, 1)",II
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(0, 0, 0, 0, 0, 0)",II
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(0, 1, 0, 1, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(1, 0, 0, 1, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(1, 1, 0, 0, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(1, 1, 0, 1, 0, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(1, 1, 0, 1, 1, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(0, 0, 0, 0, 0, 0)",II
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(0, 1, 0, 1, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 0, 0, 1, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 1, 0, 0, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 1, 0, 1, 0, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 1, 0, 1, 1, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(0, 0, 1, 0, 0, 0)",II
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(1, 1, 0, 1, 1, 1)",II
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(0, 0, 1, 0, 0, 0)",II
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(1, 1, 0, 1, 1, 1)",II
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(0, 0, 1, 0, 0, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(0, 0, 1, 0, 1, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(0, 0, 1, 1, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(0, 1, 1, 0, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(1, 0, 1, 0, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(1, 1, 1, 1, 1, 1)",II
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(0, 0, 1, 0, 0, 1)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(0, 0, 1, 0, 1, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(0, 0, 1, 1, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(0, 1, 1, 0, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(1, 0, 1, 0, 0, 0)",IV
"(1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(1, 1, 1, 1, 1, 1)",II
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(0, 0, 0, 0, 0, 0)",II
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(0, 0, 1, 1, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(1, 0, 0, 1, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(1, 0, 1, 0, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(1, 0, 1, 1, 0, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(1, 0, 1, 1, 1, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(0, 0, 0, 0, 0, 0)",II
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(0, 0, 1, 1, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(1, 0, 0, 1, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(1, 0, 1, 0, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(1, 0, 1, 1, 0, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(1, 0, 1, 1, 1, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",II
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",II
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",II
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(1, 0, 1, 1, 1, 1)",II
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(0, 1, 0, 0, 0, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(0, 1, 0, 0, 1, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(0, 1, 0, 1, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(0, 1, 1, 0, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(1, 1, 0, 0, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(1, 1, 1, 1, 1, 1)",II
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(0, 1, 0, 0, 0, 1)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(0, 1, 0, 0, 1, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(0, 1, 0, 1, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(0, 1, 1, 0, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(1, 1, 0, 0, 0, 0)",IV
"(1, 0)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(1, 1, 1, 1, 1, 1)",II
"(1, 0)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 1)","(0, 0, 0, 0, 0, 0)",II
"(1, 0)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 1)","(0, 0, 1, 1, 1, 1)",IV
"(1, 0)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 1)","(0, 1, 0, 1, 1, 1)",IV
"(1, 0)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 1)","(0, 1, 1, 0, 1, 1)",IV
